timestamp,ethereum_price
2025-01-20 00:00:00,3208.1365439891497
2025-01-21 00:00:00,3263.069869880814
2025-01-22 00:00:00,3326.0285404709143
2025-01-23 00:00:00,3237.2996671291435
2025-01-24 00:00:00,3332.580893146162
2025-01-25 00:00:00,3311.8499838687
2025-01-26 00:00:00,3320.1314101789453
2025-01-27 00:00:00,3232.2767744705584
2025-01-28 00:00:00,3173.5346079397173
2025-01-29 00:00:00,3076.4937692857234
2025-01-30 00:00:00,3114.4358854363104
2025-01-31 00:00:00,3248.249484352305
2025-02-01 00:00:00,3296.390634843652
2025-02-02 00:00:00,3125.0386801320924
2025-02-03 00:00:00,2862.6976188716285
2025-02-04 00:00:00,2877.8138239498767
2025-02-05 00:00:00,2740.3809762760143
2025-02-06 00:00:00,2790.5521609256075
2025-02-07 00:00:00,2686.662316793651
2025-02-08 00:00:00,2623.4507017824767
2025-02-09 00:00:00,2635.6011418023404
2025-02-10 00:00:00,2632.5358220552475
2025-02-11 00:00:00,2660.2967996436387
2025-02-12 00:00:00,2603.0333698049267
2025-02-13 00:00:00,2736.2703136032396
2025-02-14 00:00:00,2675.7090007037627
2025-02-15 00:00:00,2724.6698335873957
2025-02-16 00:00:00,2692.8213863864253
2025-02-17 00:00:00,2659.9017474093457
2025-02-18 00:00:00,2741.9050800956124
2025-02-18 09:55:48,2690.00480445242
